Q0045 Q0085
Q0045 Q0105
Q0045 Q0140
Q0045 Q0250
Q0045 Q0275
Q0045 YBL045C
Q0045 YDL044C
Q0045 YER154W
Q0045 YGL064C
Q0045 YGL143C
Q0045 YGL187C
Q0045 YGL191W
Q0045 YGR033C
Q0045 YGR112W
Q0045 YGR222W
Q0045 YHR051W
Q0045 YHR086W
Q0045 YIL111W
Q0045 YIL157C
Q0045 YJL062W-A
Q0045 YKL216W
Q0045 YLR038C
Q0045 YLR203C
Q0045 YLR395C
Q0045 YML030W
Q0045 YML129C
Q0045 YMR080C
Q0045 YMR256C
Q0045 YNL052W
Q0045 YNR017W
Q0045 YNR018W
Q0045 YPL172C
Q0045 YPL189C-A
Q0050 Q0120
Q0050 Q0250
Q0050 Q0275
Q0050 YAL024C
Q0050 YBL045C
Q0050 YDL067C
Q0050 YDR529C
Q0050 YEL024W
Q0050 YFR033C
Q0050 YGL187C
Q0050 YGL191W
Q0050 YGR183C
Q0050 YHR001W-A
Q0050 YHR051W
Q0050 YJL166W
Q0050 YLR038C
Q0050 YLR395C
Q0050 YMR256C
Q0050 YNL052W
Q0050 YOR065W
Q0050 YPR140W
Q0050 YPR191W
Q0065 Q0250
Q0065 Q0275
Q0070 Q0250
Q0070 Q0275
Q0080 Q0085
Q0080 YBL099W
Q0080 YBR011C
Q0080 YDR350C
Q0080 YDR377W
Q0080 YJR121W
Q0080 YKL016C
Q0080 YLR203C
Q0080 YLR393W
Q0080 YMR267W
Q0080 YPL078C
Q0085 Q0045
Q0085 Q0080
Q0085 Q0130
Q0085 Q0275
Q0085 YBL099W
Q0085 YBR011C
Q0085 YBR039W
Q0085 YBR127C
Q0085 YDL004W
Q0085 YDR298C
Q0085 YDR350C
Q0085 YDR377W
Q0085 YEL027W
Q0085 YER154W
Q0085 YJR121W
Q0085 YKL016C
Q0085 YLR203C
Q0085 YLR295C
Q0085 YLR393W
Q0085 YML081C-A
Q0085 YML129C
Q0085 YMR267W
Q0085 YPL078C
Q0085 YPL271W
Q0092 YOR026W
Q0105 Q0045
Q0105 Q0250
Q0105 Q0275
Q0105 YBL030C
Q0105 YBL045C
Q0105 YDL044C
Q0105 YDR375C
Q0105 YDR529C
Q0105 YEL024W
Q0105 YEL039C
Q0105 YER154W
Q0105 YFR033C
Q0105 YGR183C
Q0105 YHL038C
Q0105 YHR001W-A
Q0105 YHR086W
Q0105 YJL133W
Q0105 YJL166W
Q0105 YJL209W
Q0105 YJR048W
Q0105 YLR203C
Q0105 YML129C
Q0105 YMR080C
Q0105 YOR017W
Q0105 YOR065W
Q0105 YOR334W
Q0105 YPR191W
Q0110 YGR037C
Q0110 YLL019C
Q0110 YMR080C
Q0115 YIR021W
Q0120 Q0050
Q0120 Q0250
Q0120 Q0275
Q0120 YBL045C
Q0120 YDL044C
Q0120 YDL067C
Q0120 YDR178W
Q0120 YDR529C
Q0120 YEL024W
Q0120 YFR033C
Q0120 YGL187C
Q0120 YGL191W
Q0120 YGR183C
Q0120 YHR001W-A
Q0120 YHR051W
Q0120 YJL045W
Q0120 YJL166W
Q0120 YKL141W
Q0120 YKL148C
Q0120 YLL041C
Q0120 YLR038C
Q0120 YLR382C
Q0120 YLR395C
Q0120 YML120C
Q0120 YMR256C
Q0120 YNL052W
Q0120 YOR065W
Q0120 YPL160W
Q0120 YPR191W
Q0130 Q0085
Q0130 YAL010C
Q0130 YBL099W
Q0130 YBR011C
Q0130 YBR039W
Q0130 YBR091C
Q0130 YDL004W
Q0130 YDL120W
Q0130 YDL174C
Q0130 YDL217C
Q0130 YDR031W
Q0130 YDR298C
Q0130 YDR375C
Q0130 YEL020W-A
Q0130 YER154W
Q0130 YGL018C
Q0130 YGL187C
Q0130 YGR020C
Q0130 YGR029W
Q0130 YGR033C
Q0130 YGR082W
Q0130 YGR181W
Q0130 YHR005C-A
Q0130 YHR024C
Q0130 YHR039C-A
Q0130 YHR083W
Q0130 YIL022W
Q0130 YJL054W
Q0130 YJL104W
Q0130 YJL143W
Q0130 YJR045C
Q0130 YJR077C
Q0130 YJR121W
Q0130 YJR135W-A
Q0130 YKL016C
